id,text,lang,category
1756353201140359192,The whole world is watching this clown show and thinks the entire US is a joke 
1755999949035385056, Shes a gross transvestite enough of the pathetic lies from these pieces of garbage,en,US
1756362087146967356,RT  I lost a child to homophobia over 10 years ago and can barely put one foot in front of the other most days Biden is amazing,en,US
1756362087146967356,RT  I lost a child to homophobia over 10 years ago and can barely put one foot in front of the other most days Biden is amazing,en,US
1756362087146967356,RT  I lost a child to homophobia over 10 years ago and can barely put one foot in front of the other most days Biden is amazing,en,US
1756362348829217020,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362285134614783,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362276485870064,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362243787084008,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362194499866998,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362162774135079,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362152267448720,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362348829217020,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362285134614783,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362276485870064,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362243787084008,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362194499866998,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362162774135079,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362152267448720,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362348829217020,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362285134614783,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362276485870064,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362243787084008,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362194499866998,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362162774135079,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1756362152267448720,RT  Testimony has arrived of Israel viciously torturing the director of AlShifa Hospital, Muhammad Abu Salimiya, after the,en,US
1755999945436369205,RT  Weve got to stop treating a single line in a gratuitously long, heavily editorialized special counsels reportin which,en,US
1755999835465871826,RT  Weve got to stop treating a single line in a gratuitously long, heavily editorialized special counsels reportin which,en,US
1756000001237631115,RT  Lotta news but something MAJOR happened last night

Smith filed motion for Judge Cannon to reconsider order unsealing names,en,US
1755999964021584303,RT  Lotta news but something MAJOR happened last night

Smith filed motion for Judge Cannon to reconsider order unsealing names,en,US
1755999938385723788,RT  Lotta news but something MAJOR happened last night

Smith filed motion for Judge Cannon to reconsider order unsealing names,en,US
1755999920723496976,RT  Lotta news but something MAJOR happened last night

Smith filed motion for Judge Cannon to reconsider order unsealing names,en,US
1755999882035245250,RT  Lotta news but something MAJOR happened last night

Smith filed motion for Judge Cannon to reconsider order unsealing names,en,US
1755999868949328159,RT  Lotta news but something MAJOR happened last night

Smith filed motion for Judge Cannon to reconsider order unsealing names,en,US
1756362098651681271,RT  Joshua Filler on the arbitrary 5,000 daily average of acceptable migrants under the Senates proposed border bill

Read,en,US
1756362098651681271,RT  Joshua Filler on the arbitrary 5,000 daily average of acceptable migrants under the Senates proposed border bill

Read,en,US
1756362098651681271,RT  Joshua Filler on the arbitrary 5,000 daily average of acceptable migrants under the Senates proposed border bill

Read,en,US
1756362389048471985,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362372233457960,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362216310231352,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362137511870760,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362389048471985,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362372233457960,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362216310231352,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362137511870760,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362389048471985,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362372233457960,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362216310231352,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362137511870760,RT  60 billion that we are about to give Ukraine wont change anything in the stalemate It will just prolong the war and,en,US
1756362266616737958,RT  The press corps is often antimoral Reporters often refuse to come to moral conclusions even when the evidence points to,en,US
1756362110710259885,RT  The press corps is often antimoral Reporters often refuse to come to moral conclusions even when the evidence points to,en,US
1756362266616737958,RT  The press corps is often antimoral Reporters often refuse to come to moral conclusions even when the evidence points to,en,US
1756362110710259885,RT  The press corps is often antimoral Reporters often refuse to come to moral conclusions even when the evidence points to,en,US
1756362266616737958,RT  The press corps is often antimoral Reporters often refuse to come to moral conclusions even when the evidence points to,en,US
1756362110710259885,RT  The press corps is often antimoral Reporters often refuse to come to moral conclusions even when the evidence points to,en,US
1755999885638418799,RT   Your whole online persona is bullshit  I have screenshots to prove it You are a fraud You telling us,en,US
1756362360095146271,RT   MAGA Republicans, please take note THIS is what decency looks like There is simply no reason to blow,en,US
1756362360095146271,RT   MAGA Republicans, please take note THIS is what decency looks like There is simply no reason to blow,en,US
1756362360095146271,RT   MAGA Republicans, please take note THIS is what decency looks like There is simply no reason to blow,en,US
1756362325391524297,RT  The dirty secret here is that her Chief of Staff from when she was Second Lady, Cathy Russell, became the Director of,en,US
1756362082004410707,RT  The dirty secret here is that her Chief of Staff from when she was Second Lady, Cathy Russell, became the Director of,en,US
1756362325391524297,RT  The dirty secret here is that her Chief of Staff from when she was Second Lady, Cathy Russell, became the Director of,en,US
1756362082004410707,RT  The dirty secret here is that her Chief of Staff from when she was Second Lady, Cathy Russell, became the Director of,en,US
1756362046516433075,RT  The dirty secret here is that her Chief of Staff from when she was Second Lady, Cathy Russell, became the Director of,en,US
1756362325391524297,RT  The dirty secret here is that her Chief of Staff from when she was Second Lady, Cathy Russell, became the Director of,en,US
1756362082004410707,RT  The dirty secret here is that her Chief of Staff from when she was Second Lady, Cathy Russell, became the Director of,en,US
1756362046516433075,RT  The dirty secret here is that her Chief of Staff from when she was Second Lady, Cathy Russell, became the Director of,en,US
1756358276953108513,RT  Liberals are too weak to take on the right They try to be too ecumenical and treat their enemies like good faith actors,en,US
1755999843422535909,RT          ,en,US
1756362329334096241,RT  We all know that sending a 70 or 80yearold to prison for crimes done years ago or even lately is basically a life sentence r,en,US
1756362329334096241,RT  We all know that sending a 70 or 80yearold to prison for crimes done years ago or even lately is basically a life sentence r,en,US
1756362007174083069,RT  We all know that sending a 70 or 80yearold to prison for crimes done years ago or even lately is basically a life sentence r,en,US
1756362329334096241,RT  We all know that sending a 70 or 80yearold to prison for crimes done years ago or even lately is basically a life sentence r,en,US
1756362007174083069,RT  We all know that sending a 70 or 80yearold to prison for crimes done years ago or even lately is basically a life sentence r,en,US
1756362174690210287,RT  Just a reminder that Chris Wallace and the Republican party worshipped Ronald  Reagan who actually suffered from Alzheime,en,US
1756362174690210287,RT  Just a reminder that Chris Wallace and the Republican party worshipped Ronald  Reagan who actually suffered from Alzheime,en,US
1756362174690210287,RT  Just a reminder that Chris Wallace and the Republican party worshipped Ronald  Reagan who actually suffered from Alzheime,en,US
1755999951749050495,RT  I hope this pisses you off, while at the same time gives you hope, and motivates you to stand up and be heard 

The po,en,US
1756362058474414472,RT  Here he is, your idol, the one YOU think would make a great President, something to be proud of 
YOUR argument is tha,en,US
1756362058474414472,RT  Here he is, your idol, the one YOU think would make a great President, something to be proud of 
YOUR argument is tha,en,US
1755999867875274926,RT  Even E Jean Carroll only finally got justice because the rich and powerful decided to embrace her cause, hook her up w,en,US
1756362369972769274,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362357570183311,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362321813737980,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362256542298452,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362187466318156,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362170877780164,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362143396430250,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362143018975611,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362133447618900,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362125289672948,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362087906066607,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362081069068727,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362369972769274,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362357570183311,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362321813737980,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362256542298452,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362187466318156,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362170877780164,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362143396430250,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362143018975611,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362133447618900,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362125289672948,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362087906066607,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362081069068727,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362073959715278,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362055484055787,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362369972769274,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362357570183311,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362321813737980,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362256542298452,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362187466318156,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362170877780164,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362143396430250,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362143018975611,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362133447618900,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362125289672948,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362087906066607,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362081069068727,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362073959715278,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1756362055484055787,RT  After reading the media meltdown over the Hur report, I think that all of this went down as follows 

Garland told Hur,en,US
1755999892319641685,RT  Whether its Biden misremembering a period of extreme sadness or Trump misremembering a period of extreme raping, both ca,en,US
1755999880320094298,RT  Whether its Biden misremembering a period of extreme sadness or Trump misremembering a period of extreme raping, both ca,en,US
1756362232714416626,RT  Im just saying, Reagan literally had dementia when he was in office and fell asleep during meetings Of course they tried t,en,US
1756362232714416626,RT  Im just saying, Reagan literally had dementia when he was in office and fell asleep during meetings Of course they tried t,en,US
1756362066800398350,RT  Im just saying, Reagan literally had dementia when he was in office and fell asleep during meetings Of course they tried t,en,US
1756362232714416626,RT  Im just saying, Reagan literally had dementia when he was in office and fell asleep during meetings Of course they tried t,en,US
1756362066800398350,RT  Im just saying, Reagan literally had dementia when he was in office and fell asleep during meetings Of course they tried t,en,US
1755999863316312159,RT  1112
What changed
For the first time in history, the Speaker of the House was voted out and replaced A MAGA rebelli,en,US
1756362121980342646,RT  A little history Democrats booted incumbents Harry Truman and Lyndon Johnson in previous generations, who were more viable,en,US
1756362121980342646,RT  A little history Democrats booted incumbents Harry Truman and Lyndon Johnson in previous generations, who were more viable,en,US
1756362121980342646,RT  A little history Democrats booted incumbents Harry Truman and Lyndon Johnson in previous generations, who were more viable,en,US
1756362265706565971,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362260631408649,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362265706565971,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362260631408649,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362048676540754,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362040766013815,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362265706565971,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362260631408649,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362048676540754,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362040766013815,RT  Sitting here wondering why so much disrespect to my President from the media but the laughing stock who is the orange oranguta,en,US
1756362196592754995,RT   Tell that to Douglass Mackey who was sentenced to prison for a meme, or the J6 prisoners who killed themselve,en,US
1756362196592754995,RT   Tell that to Douglass Mackey who was sentenced to prison for a meme, or the J6 prisoners who killed themselve,en,US
1756362196592754995,RT   Tell that to Douglass Mackey who was sentenced to prison for a meme, or the J6 prisoners who killed themselve,en,US
1756362053890326628,RT  The deep state has shown their hand They are running our government, not our elected officials They have declared Joe Bi,en,US
1756362053890326628,RT  The deep state has shown their hand They are running our government, not our elected officials They have declared Joe Bi,en,US
1756362040241750125,RT  BASED ON PASTORS PROPHETIC WORDS FROM GOD, YEAR 2024 WILL BE ECONOMIC TURMOIL APRILMAY WILL BE CRITICAL BY MID 2024, P,en,US
1756362040241750125,RT  BASED ON PASTORS PROPHETIC WORDS FROM GOD, YEAR 2024 WILL BE ECONOMIC TURMOIL APRILMAY WILL BE CRITICAL BY MID 2024, P,en,US
1755999962976886867,RT   You know whats embarrassing, joshy Running away from a riot you helped incite 

You know whats embarrass,en,US
1755999841438642524,RT   You know whats embarrassing, joshy Running away from a riot you helped incite 

You know whats embarrass,en,US
1755999852964753891,RT   wtpBLUE
America has been a leader in global democracy and the betterment of the human condition  That is until t,en,US
1756362358857871489,RT  The settlers blocking aid to Gaza are a proxy for the Israeli state, which allows to camp by the Egyptian border and doe,en,US
1756362269791793247,RT  The settlers blocking aid to Gaza are a proxy for the Israeli state, which allows to camp by the Egyptian border and doe,en,US
1756362358857871489,RT  The settlers blocking aid to Gaza are a proxy for the Israeli state, which allows to camp by the Egyptian border and doe,en,US
1756362269791793247,RT  The settlers blocking aid to Gaza are a proxy for the Israeli state, which allows to camp by the Egyptian border and doe,en,US
1756362358857871489,RT  The settlers blocking aid to Gaza are a proxy for the Israeli state, which allows to camp by the Egyptian border and doe,en,US
1756362269791793247,RT  The settlers blocking aid to Gaza are a proxy for the Israeli state, which allows to camp by the Egyptian border and doe,en,US
1756362281800126908,RT  Lets be clearthe special counsel isnt a dummy and we should be very careful not to take the bait after Comey pulled th,en,US
1756362281800126908,RT  Lets be clearthe special counsel isnt a dummy and we should be very careful not to take the bait after Comey pulled th,en,US
1756362281800126908,RT  Lets be clearthe special counsel isnt a dummy and we should be very careful not to take the bait after Comey pulled th,en,US
1755999901853381103,RT  If Jack Smith indicted everyone at once, imagine the time it would take to deal with all their pretrial motions and i,en,US
1755999885793296434,RT  Next Jack Smith failing to prosecute members of congress and other leaders of the coup I disagree with this one I t,en,US
1755999916143317192,RT  Some of the things the government wants to remain under seal witness interviews, including a transcript of one witnes,en,US
1755999977174626681,RT  Transcripts of interviews detailing the process of finding attorneys for two individuals I imagine this has to do wit,en,US
1755999817958846763,RT  Transcripts of interviews detailing the process of finding attorneys for two individuals I imagine this has to do wit,en,US
1756362364503409129,RT  Kamala Comments made by the Special Council that he had a poor memory  were Gratuitous, inaccurate, and inappropriate,en,US
1756362364503409129,RT  Kamala Comments made by the Special Council that he had a poor memory  were Gratuitous, inaccurate, and inappropriate,en,US
1756362364503409129,RT  Kamala Comments made by the Special Council that he had a poor memory  were Gratuitous, inaccurate, and inappropriate,en,US
1756362381356413017,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362251399987202,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362079261409343,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362381356413017,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362251399987202,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362079261409343,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362053399261288,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362022277509501,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362381356413017,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362251399987202,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362079261409343,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362053399261288,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756362022277509501,RT  How can a man deemed too senile to stand trial be deemed fit to run this country

Special prosecutors report proves Joe B,en,US
1756361626314571777,RT  DemVoice1  ProudBlue  Fresh 
        We have all been critical of Special Counsel Robert Hur for his commentary about P,en,US
1756359520962376119,RT  DemVoice1  ProudBlue  Fresh 
        We have all been critical of Special Counsel Robert Hur for his commentary about P,en,US
1756357836274061498,RT  DemVoice1  ProudBlue  Fresh 
        We have all been critical of Special Counsel Robert Hur for his commentary about P,en,US
1756355885012836858,RT  DemVoice1  ProudBlue  Fresh 
        We have all been critical of Special Counsel Robert Hur for his commentary about P,en,US
1756355156168339734,RT  DemVoice1  ProudBlue  Fresh 
        We have all been critical of Special Counsel Robert Hur for his commentary about P,en,US
1755999833347985462,RT  Democrats have claimed over and over that the 2016 election was stolen The outcome was clear there was no evidence of Russia,en,US
1756362176753803573,RT  Too old and feeble to understand that he stole secret documents

Okay to control the nuclear launch codes

BidenDem,en,US
1756362176753803573,RT  Too old and feeble to understand that he stole secret documents

Okay to control the nuclear launch codes

BidenDem,en,US
1756362176753803573,RT  Too old and feeble to understand that he stole secret documents

Okay to control the nuclear launch codes

BidenDem,en,US
1756362162539315520,RT   Blacks getting slaughtered with Democrats doing everything for illegals immigrants that are direct competi,en,US
1756362162539315520,RT   Blacks getting slaughtered with Democrats doing everything for illegals immigrants that are direct competi,en,US
1756362162539315520,RT   Blacks getting slaughtered with Democrats doing everything for illegals immigrants that are direct competi,en,US
1755999967918035410,RT  People keep saying corporate media is dead To the right it may be dead To the left it is very much alive 

They still hang,en,US
1756353609762058473,RT   Robert Hur is a hack  He just couldnt help himself from  expressing his partisan opinions  Merrick Gar,en,US
1756362336238018923,RT  GenderReassignment Treatments Have No LongTerm Mental Health Benefits

Over 60 Studies Reviewed by American College o,en,US
1756362336238018923,RT  GenderReassignment Treatments Have No LongTerm Mental Health Benefits

Over 60 Studies Reviewed by American College o,en,US
1756362336238018923,RT  GenderReassignment Treatments Have No LongTerm Mental Health Benefits

Over 60 Studies Reviewed by American College o,en,US
1756362025230635431,RT  AM How a conviction changes the 2024 race in our latest poll  Latinos and independents On the original ballot, Bide,en,US
1756362025230635431,RT  AM How a conviction changes the 2024 race in our latest poll  Latinos and independents On the original ballot, Bide,en,US
1755999936750268769,RT   ROBERT HUR IS NOT A MEDICAL DOCTOR OR A PSYCHATRIST   WHAT GIVES HIM THE RIGHT TO EDITORIALIZE JOE B,en,US
1755999899374571981,RT  DeSantis should unsuspend his campaign

This country is in desperate need of leaders that have some youth and vitality,en,US
1755999926847176772,RT  I think Jack Smith may be teeing Cannon up for both the appeal of the recon denial and a trip into CIPA interlocutory wo,en,US
1755999835357163992,RT  I think Jack Smith may be teeing Cannon up for both the appeal of the recon denial and a trip into CIPA interlocutory wo,en,US
1756362133929951492,RT   Maybe, as I wrote in February 2021, the position of AG should not have been made the consolation prize for not havin,en,US
1756360305318171048,RT   Maybe, as I wrote in February 2021, the position of AG should not have been made the consolation prize for not havin,en,US
1756358924167467212,RT   Maybe, as I wrote in February 2021, the position of AG should not have been made the consolation prize for not havin,en,US
1756355217287754145,RT  Whoever, Owing Allegiance To The United States, Levies War Against Them Or Adheres To Their Enemies, Giving Them Aid And Comf,en,US
1755999905024229799,RT  Peter Navarros bid for release pending appeal of his criminal contempt conviction has been rejected

United States Distri,en,US
1756362208932753537,RT  So, who will they install It was their plan all along The Deep State is Very Real It has Officially Turned on Joe B,en,US
1756362208932753537,RT  So, who will they install It was their plan all along The Deep State is Very Real It has Officially Turned on Joe B,en,US
1756362208932753537,RT  So, who will they install It was their plan all along The Deep State is Very Real It has Officially Turned on Joe B,en,US
1756355064959037574,RT  J6 committee fowarded names of 5 congressmen to the DOJ for criminal indictment, failing to appear for a lawful subpeona

M,en,US
1756362353938137452,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362342839857573,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362330357551283,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362144298192960,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362138833039734,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362353938137452,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362342839857573,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362330357551283,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362144298192960,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362138833039734,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362050840809915,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362353938137452,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362342839857573,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362330357551283,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362144298192960,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362138833039734,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
1756362050840809915,RT  I say his age is an asset Hes wise, he has wisdom, hes experienced He knows every leader on the world stage Hes lived,en,US
